тип;название;Модель;Топливо;Давление, атм;Паропроизводительность, кг/ч;КПД;мощность, кВт;Производство пара, кг/ч
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-900;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1200;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1600;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2500;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3500;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-4000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-5000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-6000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-7000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-8000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-9000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-10000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-11000;мазут;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-12000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-150;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-200;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-250;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-300;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-400;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-600;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-700;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-800;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-900;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1200;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1600;;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3500;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-4000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-5000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-6000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-7000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-8000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-9000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-10000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-11000;мазут;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-12000;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-500;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-600;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-700;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-800;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-900;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1000;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1200;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1600;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2000;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2500;мазут;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-3000;мазут;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-100;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-150;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-200;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-250;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-300;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-400;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-500;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-600;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-700;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-800;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-900;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1000;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1200;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-1600;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2000;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-2500;твердое топливо;;;;;
Генерация пара;парогенератор жаротрубный вертикальный;КПО-ПГ-ЖВ-3000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1200;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-1600;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-2500;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-3500;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-4000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-5000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-6000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-7000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-8000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-9000;твердое топливо;;;;;
Генерация пара;парогенератор водотрубный;КПО-ПГ-В-10000;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-30;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-50;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-70;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-100;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-150;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-250;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-300;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-500;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1000;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-1500;твердое топливо;;;;;
Генерация пара;Парогенератор мобильный;КПО-ПГ-М-2000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-150;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-200;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-250;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-300;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-400;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-500;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-600;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-700;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-800;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-900;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1200;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-1600;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-2500;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-3500;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-4000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-5000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-6000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-7000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-8000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-9000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-10000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-11000;твердое топливо;;;;;
Генерация пара;Паровой котлёл двухходовой;КПО-ПК-ДХ-12000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-150;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-200;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-250;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-300;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-400;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-500;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-600;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-700;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-800;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-900;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1200;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-1600;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-2500;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-3500;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-4000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-5000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-6000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-7000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-8000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-9000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-10000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-11000;твердое топливо;;;;;
Генерация пара;Паровой котлёл трёхходовой;КПО-ПК-ТХ-12000;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-500;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-600;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-700;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-800;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-900;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1000;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1200;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-1600;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2000;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-2500;твердое топливо;;;;;
Генерация пара;Блочно-модульные котельные установки;ПГ-У-УИ-3000;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-30;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-500;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;электричество;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;газ;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;дизель;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-50;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-100;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-200;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-300;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-600;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1000;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-1600;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2000;твердое топливо;;;;;
Перегрев пара;Пароперегреватель автономный;ПП-А-2500;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-100;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;газ;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-100;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;дизель;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-100;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-200;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-300;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-500;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-1500;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-2000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-3000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-4000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-5000;твердое топливо;;;;;
Генерация тепла;Термомасляный котел;КПО-ТМ-6000;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;газ;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;дизель;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-200;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-300;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-400;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-500;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1000;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-1500;твердое топливо;;;;;
Генерация тепла;Водогрейный котел;КПО-КВ-2000;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;газ;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;дизель;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-60;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-80;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-100;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-150;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-200;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-300;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-600;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-900;твердое топливо;;;;;
Генерация тепла;Тпелогенератор;КПО-ТГ-1500;твердое топливо;;;;;